pair,long,short,activation,buffer,bl_n,bl_gross_wr,bl_net_wr,bl_avg_gross,bl_avg_net,bl_avg_hold,st_n,st_gross_wr,st_net_wr,st_avg_gross,st_avg_net,st_avg_hold,n_fired,pct_fired,n_unnecessary,pct_unnecessary,net_improvement
SOYBEANS/NATGAS,SOYBEANS,NATGAS,0.5,0.75,38,0.7105,0.7105,0.0201,0.0035,133.1,39,0.7436,0.7436,0.0168,0.0015,121.5,5,12.8,2,40.0,-0.002
COFFEE/SILVER,COFFEE,SILVER,1.5,0.1,37,0.7838,0.7838,0.0212,0.0053,126.8,74,0.5811,0.5,0.0028,-0.004,43.7,58,78.4,25,43.1,-0.0092
COFFEE/SILVER,COFFEE,SILVER,1.5,0.2,37,0.7838,0.7838,0.0212,0.0053,126.8,71,0.5493,0.4225,0.0025,-0.0052,52.2,51,71.8,21,41.2,-0.0105
COFFEE/SILVER,COFFEE,SILVER,1.5,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,71,0.5493,0.4507,0.0037,-0.0047,58.5,47,66.2,18,38.3,-0.0099
COFFEE/SILVER,COFFEE,SILVER,1.5,0.5,37,0.7838,0.7838,0.0212,0.0053,126.8,69,0.5507,0.5072,0.0091,-0.0005,68.6,38,55.1,13,34.2,-0.0057
COFFEE/SILVER,COFFEE,SILVER,1.5,0.75,37,0.7838,0.7838,0.0212,0.0053,126.8,59,0.5254,0.4915,0.0058,-0.0052,81.8,25,42.4,10,40.0,-0.0104
COFFEE/SILVER,COFFEE,SILVER,1.25,0.1,37,0.7838,0.7838,0.0212,0.0053,126.8,66,0.7424,0.6667,0.0149,0.0075,49.2,48,72.7,21,43.8,0.0022
COFFEE/SILVER,COFFEE,SILVER,1.25,0.2,37,0.7838,0.7838,0.0212,0.0053,126.8,66,0.7121,0.6061,0.0108,0.0031,51.8,48,72.7,21,43.8,-0.0021
COFFEE/SILVER,COFFEE,SILVER,1.25,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,66,0.6212,0.5303,0.0094,0.0014,55.2,45,68.2,21,46.7,-0.0039
COFFEE/SILVER,COFFEE,SILVER,1.25,0.5,37,0.7838,0.7838,0.0212,0.0053,126.8,63,0.5873,0.4921,0.0083,-0.001,66.3,37,58.7,17,45.9,-0.0063
COFFEE/SILVER,COFFEE,SILVER,1.25,0.75,37,0.7838,0.7838,0.0212,0.0053,126.8,61,0.5902,0.5574,0.0122,0.0018,76.9,29,47.5,11,37.9,-0.0035
COFFEE/SILVER,COFFEE,SILVER,1.0,0.1,37,0.7838,0.7838,0.0212,0.0053,126.8,57,0.7895,0.7719,0.0196,0.011,60.0,36,63.2,16,44.4,0.0057
COFFEE/SILVER,COFFEE,SILVER,1.0,0.2,37,0.7838,0.7838,0.0212,0.0053,126.8,57,0.7719,0.7544,0.0201,0.0113,62.1,34,59.6,16,47.1,0.006
COFFEE/SILVER,COFFEE,SILVER,1.0,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,57,0.7895,0.7544,0.0216,0.0124,65.5,31,54.4,14,45.2,0.0072
COFFEE/SILVER,COFFEE,SILVER,1.0,0.5,37,0.7838,0.7838,0.0212,0.0053,126.8,57,0.7368,0.6667,0.0171,0.0075,69.2,30,52.6,13,43.3,0.0023
COFFEE/SILVER,COFFEE,SILVER,1.0,0.75,37,0.7838,0.7838,0.0212,0.0053,126.8,56,0.6607,0.625,0.0195,0.0086,81.1,23,41.1,10,43.5,0.0033
COFFEE/SILVER,COFFEE,SILVER,0.75,0.1,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.8235,0.7843,0.0259,0.0161,70.7,30,58.8,16,53.3,0.0109
COFFEE/SILVER,COFFEE,SILVER,0.75,0.2,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.8431,0.8235,0.0277,0.0177,73.1,26,51.0,12,46.2,0.0124
COFFEE/SILVER,COFFEE,SILVER,0.75,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.8431,0.8039,0.0307,0.0202,77.5,22,43.1,9,40.9,0.0149
COFFEE/SILVER,COFFEE,SILVER,0.75,0.5,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.7843,0.7647,0.0282,0.0173,80.7,21,41.2,8,38.1,0.0121
COFFEE/SILVER,COFFEE,SILVER,0.75,0.75,37,0.7838,0.7838,0.0212,0.0053,126.8,51,0.7451,0.7059,0.0221,0.0107,85.4,21,41.2,8,38.1,0.0055
COFFEE/SILVER,COFFEE,SILVER,0.5,0.1,37,0.7838,0.7838,0.0212,0.0053,126.8,48,0.8542,0.8542,0.0285,0.0177,80.7,25,52.1,13,52.0,0.0124
COFFEE/SILVER,COFFEE,SILVER,0.5,0.2,37,0.7838,0.7838,0.0212,0.0053,126.8,48,0.875,0.875,0.0299,0.0189,82.8,21,43.8,11,52.4,0.0136
COFFEE/SILVER,COFFEE,SILVER,0.5,0.3,37,0.7838,0.7838,0.0212,0.0053,126.8,48,0.8542,0.8333,0.0274,0.0161,84.3,21,43.8,11,52.4,0.0109
COFFEE/SILVER,COFFEE,SILVER,0.5,0.5,37,0.7838,0.7838,0.0212,0.0053,126.8,48,0.8542,0.8333,0.0297,0.0182,86.4,17,35.4,8,47.1,0.0129
COFFEE/SILVER,COFFEE,SILVER,0.5,0.75,37,0.7838,0.7838,0.0212,0.0053,126.8,48,0.7708,0.75,0.0275,0.0157,89.2,15,31.2,7,46.7,0.0104
BRENT/WHEAT,BRENT,WHEAT,1.5,0.1,29,0.8966,0.8276,0.0461,0.0318,112.4,43,0.7442,0.6744,0.0073,-0.0005,53.3,27,62.8,16,59.3,-0.0323
BRENT/WHEAT,BRENT,WHEAT,1.5,0.2,29,0.8966,0.8276,0.0461,0.0318,112.4,43,0.6744,0.6047,0.0078,-0.0006,57.8,25,58.1,16,64.0,-0.0324
BRENT/WHEAT,BRENT,WHEAT,1.5,0.3,29,0.8966,0.8276,0.0461,0.0318,112.4,42,0.6429,0.5476,0.0185,0.0091,67.2,21,50.0,13,61.9,-0.0227
BRENT/WHEAT,BRENT,WHEAT,1.5,0.5,29,0.8966,0.8276,0.0461,0.0318,112.4,42,0.6429,0.5952,0.0292,0.0188,76.8,14,33.3,9,64.3,-0.013
BRENT/WHEAT,BRENT,WHEAT,1.5,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,38,0.7105,0.6579,0.0353,0.0239,86.2,9,23.7,8,88.9,-0.0079
BRENT/WHEAT,BRENT,WHEAT,1.25,0.1,29,0.8966,0.8276,0.0461,0.0318,112.4,34,0.7647,0.7059,0.0188,0.0098,63.9,18,52.9,12,66.7,-0.022
BRENT/WHEAT,BRENT,WHEAT,1.25,0.2,29,0.8966,0.8276,0.0461,0.0318,112.4,34,0.7353,0.7353,0.0171,0.0077,67.4,17,50.0,11,64.7,-0.0241
BRENT/WHEAT,BRENT,WHEAT,1.25,0.3,29,0.8966,0.8276,0.0461,0.0318,112.4,34,0.7059,0.7059,0.0151,0.0051,72.5,16,47.1,11,68.8,-0.0267
BRENT/WHEAT,BRENT,WHEAT,1.25,0.5,29,0.8966,0.8276,0.0461,0.0318,112.4,33,0.7576,0.697,0.022,0.0104,88.3,11,33.3,8,72.7,-0.0214
BRENT/WHEAT,BRENT,WHEAT,1.25,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,32,0.8125,0.7812,0.0378,0.0247,100.6,4,12.5,4,100.0,-0.0071
BRENT/WHEAT,BRENT,WHEAT,1.0,0.1,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7586,0.7241,0.0124,0.0016,80.2,15,51.7,14,93.3,-0.0302
BRENT/WHEAT,BRENT,WHEAT,1.0,0.2,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7586,0.7241,0.0205,0.0088,89.0,12,41.4,11,91.7,-0.023
BRENT/WHEAT,BRENT,WHEAT,1.0,0.3,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7931,0.7586,0.0238,0.0118,91.6,10,34.5,9,90.0,-0.02
BRENT/WHEAT,BRENT,WHEAT,1.0,0.5,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7586,0.7586,0.0252,0.0125,98.3,7,24.1,7,100.0,-0.0193
BRENT/WHEAT,BRENT,WHEAT,1.0,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8621,0.7931,0.0365,0.023,105.3,3,10.3,3,100.0,-0.0088
BRENT/WHEAT,BRENT,WHEAT,0.75,0.1,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8276,0.7586,0.0223,0.0117,78.3,16,55.2,14,87.5,-0.0201
BRENT/WHEAT,BRENT,WHEAT,0.75,0.2,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7931,0.7586,0.0319,0.0202,88.8,11,37.9,9,81.8,-0.0116
BRENT/WHEAT,BRENT,WHEAT,0.75,0.3,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8276,0.7931,0.0332,0.0211,92.4,9,31.0,7,77.8,-0.0107
BRENT/WHEAT,BRENT,WHEAT,0.75,0.5,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8276,0.7931,0.0318,0.0189,98.9,7,24.1,6,85.7,-0.0129
BRENT/WHEAT,BRENT,WHEAT,0.75,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8621,0.8276,0.0372,0.0236,105.8,3,10.3,3,100.0,-0.0082
BRENT/WHEAT,BRENT,WHEAT,0.5,0.1,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7931,0.7586,0.0285,0.0167,89.0,15,51.7,14,93.3,-0.0151
BRENT/WHEAT,BRENT,WHEAT,0.5,0.2,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7931,0.7586,0.0236,0.0117,90.7,15,51.7,14,93.3,-0.0201
BRENT/WHEAT,BRENT,WHEAT,0.5,0.3,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.7931,0.7586,0.0218,0.0097,92.1,14,48.3,13,92.9,-0.0221
BRENT/WHEAT,BRENT,WHEAT,0.5,0.5,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8276,0.7586,0.0314,0.0186,98.3,8,27.6,7,87.5,-0.0132
BRENT/WHEAT,BRENT,WHEAT,0.5,0.75,29,0.8966,0.8276,0.0461,0.0318,112.4,29,0.8621,0.7931,0.0354,0.0221,103.1,5,17.2,4,80.0,-0.0097
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.5,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,59,0.678,0.6102,0.015,0.0071,54.1,37,62.7,14,37.8,-0.0114
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.5,0.2,36,0.8056,0.75,0.0339,0.0185,122.3,59,0.6441,0.5932,0.0213,0.0125,62.5,32,54.2,10,31.2,-0.006
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.5,0.3,36,0.8056,0.75,0.0339,0.0185,122.3,59,0.5932,0.5593,0.0213,0.0122,65.3,29,49.2,10,34.5,-0.0063
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.5,0.5,36,0.8056,0.75,0.0339,0.0185,122.3,57,0.5789,0.5263,0.0213,0.0107,78.5,24,42.1,8,33.3,-0.0078
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.5,0.75,36,0.8056,0.75,0.0339,0.0185,122.3,52,0.6154,0.5769,0.0275,0.016,86.8,17,32.7,5,29.4,-0.0025
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.25,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,53,0.7358,0.6981,0.0164,0.0084,55.3,35,66.0,17,48.6,-0.0102
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.25,0.2,36,0.8056,0.75,0.0339,0.0185,122.3,53,0.6792,0.6226,0.0149,0.0061,61.7,33,62.3,15,45.5,-0.0124
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.25,0.3,36,0.8056,0.75,0.0339,0.0185,122.3,53,0.6981,0.6038,0.018,0.0087,67.1,29,54.7,13,44.8,-0.0098
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.25,0.5,36,0.8056,0.75,0.0339,0.0185,122.3,53,0.6226,0.566,0.0277,0.0171,77.9,21,39.6,8,38.1,-0.0014
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.25,0.75,36,0.8056,0.75,0.0339,0.0185,122.3,51,0.5882,0.549,0.0233,0.0117,88.0,18,35.3,7,38.9,-0.0068
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.0,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,50,0.76,0.7,0.025,0.016,63.8,30,60.0,16,53.3,-0.0025
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.0,0.2,36,0.8056,0.75,0.0339,0.0185,122.3,50,0.72,0.64,0.0196,0.0103,66.9,30,60.0,16,53.3,-0.0082
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.0,0.3,36,0.8056,0.75,0.0339,0.0185,122.3,50,0.74,0.66,0.0201,0.0105,69.6,27,54.0,14,51.9,-0.008
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.0,0.5,36,0.8056,0.75,0.0339,0.0185,122.3,50,0.66,0.62,0.0189,0.0087,74.6,24,48.0,12,50.0,-0.0098
WHEAT/SOYBEANS,WHEAT,SOYBEANS,1.0,0.75,36,0.8056,0.75,0.0339,0.0185,122.3,49,0.6531,0.5918,0.0252,0.0138,85.8,17,34.7,8,47.1,-0.0047
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.75,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,46,0.7826,0.7391,0.0311,0.0211,73.2,25,54.3,13,52.0,0.0026
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.75,0.2,36,0.8056,0.75,0.0339,0.0185,122.3,46,0.7826,0.7174,0.0297,0.0195,74.8,23,50.0,12,52.2,0.001
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.75,0.3,36,0.8056,0.75,0.0339,0.0185,122.3,46,0.7826,0.7174,0.028,0.0175,77.5,22,47.8,11,50.0,-0.001
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.75,0.5,36,0.8056,0.75,0.0339,0.0185,122.3,46,0.7609,0.6522,0.024,0.0132,80.5,20,43.5,11,55.0,-0.0053
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.75,0.75,36,0.8056,0.75,0.0339,0.0185,122.3,46,0.6739,0.6087,0.0209,0.0097,83.5,18,39.1,10,55.6,-0.0088
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.1,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8222,0.8,0.0336,0.0229,79.4,24,53.3,15,62.5,0.0044
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.2,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8222,0.7778,0.0331,0.0223,80.4,22,48.9,13,59.1,0.0038
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.3,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8,0.7333,0.032,0.021,82.1,21,46.7,12,57.1,0.0025
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.5,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8,0.7333,0.0303,0.0188,86.6,16,35.6,9,56.2,0.0003
WHEAT/SOYBEANS,WHEAT,SOYBEANS,0.5,0.75,36,0.8056,0.75,0.0339,0.0185,122.3,45,0.8,0.6889,0.0272,0.0156,87.6,16,35.6,9,56.2,-0.0029
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.5,0.1,31,0.7097,0.7097,0.0202,0.0036,133.5,59,0.6441,0.5593,0.0102,0.003,48.0,43,72.9,13,30.2,-0.0006
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.5,0.2,31,0.7097,0.7097,0.0202,0.0036,133.5,58,0.5862,0.5172,0.0089,0.0014,50.3,41,70.7,12,29.3,-0.0022
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.5,0.3,31,0.7097,0.7097,0.0202,0.0036,133.5,57,0.5789,0.4737,0.0151,0.0063,62.3,34,59.6,11,32.4,0.0027
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.5,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,55,0.5091,0.4909,0.0171,0.0069,75.1,27,49.1,8,29.6,0.0033
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.5,0.75,31,0.7097,0.7097,0.0202,0.0036,133.5,50,0.5,0.48,0.0161,0.0051,82.2,21,42.0,5,23.8,0.0015
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.1,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.7083,0.6667,0.0151,0.0063,62.4,33,68.8,13,39.4,0.0027
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.2,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.6667,0.625,0.0181,0.0078,75.2,27,56.2,10,37.0,0.0042
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.3,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.6667,0.6458,0.0202,0.0096,78.5,25,52.1,9,36.0,0.006
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.5833,0.5417,0.022,0.0109,82.9,21,43.8,7,33.3,0.0073
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.25,0.75,31,0.7097,0.7097,0.0202,0.0036,133.5,48,0.5625,0.5417,0.0218,0.0099,90.0,18,37.5,5,27.8,0.0063
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.0,0.1,31,0.7097,0.7097,0.0202,0.0036,133.5,39,0.7179,0.6667,0.0171,0.0056,86.4,20,51.3,11,55.0,0.002
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.0,0.2,31,0.7097,0.7097,0.0202,0.0036,133.5,39,0.6923,0.641,0.0194,0.0077,88.2,17,43.6,10,58.8,0.0041
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.0,0.3,31,0.7097,0.7097,0.0202,0.0036,133.5,39,0.6667,0.641,0.0157,0.004,89.0,17,43.6,10,58.8,0.0004
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.0,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,39,0.5897,0.5897,0.017,0.0044,97.1,14,35.9,8,57.1,0.0008
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,1.0,0.75,31,0.7097,0.7097,0.0202,0.0036,133.5,39,0.5897,0.5897,0.0181,0.005,101.6,11,28.2,7,63.6,0.0014
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.75,0.1,31,0.7097,0.7097,0.0202,0.0036,133.5,34,0.7353,0.6765,0.0152,0.002,101.8,13,38.2,8,61.5,-0.0015
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.75,0.2,31,0.7097,0.7097,0.0202,0.0036,133.5,34,0.7353,0.7059,0.0187,0.005,106.9,10,29.4,7,70.0,0.0014
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.75,0.3,31,0.7097,0.7097,0.0202,0.0036,133.5,34,0.7353,0.7059,0.0157,0.0019,107.4,10,29.4,7,70.0,-0.0017
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.75,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,34,0.7059,0.7059,0.0194,0.0052,111.3,7,20.6,5,71.4,0.0016
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.75,0.75,31,0.7097,0.7097,0.0202,0.0036,133.5,34,0.7059,0.7059,0.0187,0.004,115.9,6,17.6,4,66.7,0.0004
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.5,0.1,31,0.7097,0.7097,0.0202,0.0036,133.5,32,0.7188,0.7188,0.0105,-0.0036,110.2,14,43.8,9,64.3,-0.0072
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.5,0.2,31,0.7097,0.7097,0.0202,0.0036,133.5,32,0.7188,0.7188,0.0102,-0.0044,114.6,12,37.5,8,66.7,-0.008
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.5,0.3,31,0.7097,0.7097,0.0202,0.0036,133.5,32,0.7188,0.6875,0.0121,-0.0027,116.0,10,31.2,6,60.0,-0.0063
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.5,0.5,31,0.7097,0.7097,0.0202,0.0036,133.5,32,0.7188,0.6875,0.0183,0.003,121.4,5,15.6,3,60.0,-0.0006
PLATINUM/SOYBEANS,PLATINUM,SOYBEANS,0.5,0.75,31,0.7097,0.7097,0.0202,0.0036,133.5,32,0.6875,0.6875,0.0209,0.0052,124.8,3,9.4,1,33.3,0.0016
NATGAS/GOLD,NATGAS,GOLD,1.5,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.5,0.44,-0.0151,-0.0262,82.5,35,70.0,14,40.0,0.0239
NATGAS/GOLD,NATGAS,GOLD,1.5,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.52,0.46,-0.0165,-0.0281,88.0,33,66.0,12,36.4,0.0219
NATGAS/GOLD,NATGAS,GOLD,1.5,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.54,0.52,-0.0112,-0.0237,95.5,29,58.0,12,41.4,0.0264
NATGAS/GOLD,NATGAS,GOLD,1.5,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,47,0.4681,0.4468,-0.016,-0.0309,118.0,22,46.8,10,45.5,0.0192
NATGAS/GOLD,NATGAS,GOLD,1.5,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,42,0.5,0.4762,-0.0214,-0.0377,130.4,15,35.7,8,53.3,0.0124
NATGAS/GOLD,NATGAS,GOLD,1.25,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5263,0.4211,-0.0259,-0.0384,96.3,28,73.7,9,32.1,0.0117
NATGAS/GOLD,NATGAS,GOLD,1.25,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.4737,0.3947,-0.0307,-0.0438,101.2,27,71.1,9,33.3,0.0063
NATGAS/GOLD,NATGAS,GOLD,1.25,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5263,0.5,-0.0254,-0.04,115.0,22,57.9,9,40.9,0.0101
NATGAS/GOLD,NATGAS,GOLD,1.25,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5526,0.5263,-0.0292,-0.0453,128.2,19,50.0,7,36.8,0.0048
NATGAS/GOLD,NATGAS,GOLD,1.25,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5526,0.4737,-0.0186,-0.0372,151.4,10,26.3,5,50.0,0.0129
NATGAS/GOLD,NATGAS,GOLD,1.0,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5556,0.5,-0.0209,-0.0365,123.9,21,58.3,8,38.1,0.0136
NATGAS/GOLD,NATGAS,GOLD,1.0,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5556,0.4722,-0.025,-0.041,127.4,20,55.6,8,40.0,0.0091
NATGAS/GOLD,NATGAS,GOLD,1.0,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5833,0.4444,-0.0211,-0.0375,131.5,17,47.2,6,35.3,0.0125
NATGAS/GOLD,NATGAS,GOLD,1.0,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5833,0.4167,-0.0258,-0.0433,141.0,16,44.4,5,31.2,0.0068
NATGAS/GOLD,NATGAS,GOLD,1.0,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.6111,0.5,-0.022,-0.0405,151.0,12,33.3,4,33.3,0.0096
NATGAS/GOLD,NATGAS,GOLD,0.75,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5294,0.5294,-0.0209,-0.0371,129.6,22,64.7,10,45.5,0.0129
NATGAS/GOLD,NATGAS,GOLD,0.75,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5588,0.4706,-0.0215,-0.0381,133.4,20,58.8,8,40.0,0.012
NATGAS/GOLD,NATGAS,GOLD,0.75,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5882,0.4118,-0.0214,-0.0388,140.3,17,50.0,5,29.4,0.0113
NATGAS/GOLD,NATGAS,GOLD,0.75,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5882,0.4118,-0.0185,-0.0363,144.5,14,41.2,4,28.6,0.0137
NATGAS/GOLD,NATGAS,GOLD,0.75,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5588,0.3824,-0.0249,-0.0435,151.6,13,38.2,3,23.1,0.0066
NATGAS/GOLD,NATGAS,GOLD,0.5,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,32,0.5625,0.5,-0.0299,-0.0489,156.0,12,37.5,9,75.0,0.0011
NATGAS/GOLD,NATGAS,GOLD,0.5,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,32,0.5625,0.5,-0.0327,-0.0519,156.9,12,37.5,9,75.0,-0.0018
NATGAS/GOLD,NATGAS,GOLD,0.5,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,32,0.5625,0.5312,-0.0303,-0.0497,158.3,10,31.2,7,70.0,0.0004
NATGAS/GOLD,NATGAS,GOLD,0.5,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,32,0.6562,0.5,-0.0239,-0.0437,163.0,6,18.8,3,50.0,0.0064
NATGAS/GOLD,NATGAS,GOLD,0.5,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,32,0.625,0.4688,-0.0245,-0.0447,166.0,5,15.6,2,40.0,0.0054
